"Path Profile X=[118,610] Y=[61,472] W=48   - Red","AD\jneylon 12/6/2023 3:48:57 PM"
x / mm,y / (16 bpch)
x1,y1
98.4,46267
98.6,46323
98.8,46260
99.1,46309
99.3,46211
99.5,46288
99.7,46309
100.0,46371
100.2,46357
100.4,46267
100.6,46309
100.8,46364
101.1,46350
101.3,46316
101.5,46399
101.7,46357
101.9,46329
102.2,46406
102.4,46350
102.6,46434
102.8,46364
103.0,46420
103.3,46399
103.5,46441
103.7,46413
103.9,46454
104.1,46454
104.4,46406
104.6,46413
104.8,46392
105.0,46496
105.2,46427
105.5,46454
105.7,46503
105.9,46503
106.1,46510
106.3,46573
106.6,46524
106.8,46468
107.0,46496
107.2,46538
107.5,46649
107.7,46600
107.9,46566
108.1,46607
108.3,46628
108.6,46705

