"Path Profile X=[678,1085] Y=[48,466] W=48   - Red","AD\jneylon 12/6/2023 3:47:56 PM"
x / mm,y / (16 bpch)
x1,y1
0.0,47141
0.2,47090
0.5,47060
0.7,47156
0.9,47112
1.2,47112
1.4,47141
1.7,47141
1.9,47119
2.1,47038
2.4,47134
2.6,47097
2.8,47104
3.1,47046
3.3,47104
3.5,47038
3.8,47016
4.0,47053
4.3,47046
4.5,47148
4.7,47002
5.0,47038
5.2,47016
5.4,46980
5.7,47024
5.9,47002
6.1,47009
6.4,47016
6.6,47002
6.9,46642
7.1,46965
7.3,46958
7.6,46936
7.8,46891
8.0,47031
8.3,46936
8.5,47009
8.7,46950
9.0,46936
9.2,46936
9.5,46965
9.7,47009
9.9,47068
10.2,46994
10.4,46965
10.6,46994
10.9,47060
11.1,47002
11.3,46965
11.6,46972
11.8,47075
12.1,46980
12.3,47024
12.5,46987
12.8,46980
13.0,47024
13.2,46965
13.5,46936
13.7,47002
13.9,46891
14.2,46958
14.4,46877
14.7,46891
14.9,46943
15.1,46877
15.4,46943
15.6,46877
15.8,46862
16.1,46840
16.3,46958
16.5,46921
16.8,46936
17.0,46965
17.3,46943
17.5,46958
17.7,46943
18.0,46958
18.2,46906
18.4,46965
18.7,46928
18.9,46943
19.1,46891
19.4,46862
19.6,46774
19.9,46840
20.1,46767
20.3,46730
20.6,46686
20.8,46649
21.0,46657
21.3,46664
21.5,46671
21.7,46546
22.0,46400
22.2,46466
22.5,46392
22.7,46422
22.9,46392
23.2,46304
23.4,46238
23.6,46187
23.9,46084
24.1,46069
24.3,45952
24.6,45915
24.8,45812
25.1,45753
25.3,45673
25.5,45562
25.8,45438
26.0,45364
26.2,45239
26.5,45100
26.7,44850
26.9,44681
27.2,44578
27.4,44160
27.7,44116
27.9,43837
28.1,43587
28.4,43227
28.6,42941
28.8,42545
29.1,42192
29.3,41818
29.5,41450
29.8,41098
30.0,40782
30.3,40621
30.5,40459
30.7,40268
31.0,40136
31.2,40099
31.4,40019
31.7,39952
31.9,39916
32.1,39798
32.4,39740
32.6,39563
32.9,39527
33.1,39527
33.3,39446
33.6,39387
33.8,39248
34.0,39262
34.3,39145
34.5,39049
34.7,38969
35.0,38910
35.2,38844
35.5,38785
35.7,38748
35.9,38609
36.2,38565
36.4,38535
36.6,38381
36.9,38366
37.1,38271
37.3,38271
37.6,38168
37.8,38153
38.1,38124
38.3,38051
38.5,38029
38.8,37970
39.0,37874
39.2,37852
39.5,37794
39.7,37838
39.9,37779
40.2,37639
40.4,37647
40.7,37669
40.9,37610
41.1,37515
41.4,37515
41.6,37485
41.8,37434
42.1,37434
42.3,37405
42.5,37397
42.8,37294
43.0,37309
43.3,37360
43.5,37353
43.7,37353
44.0,37316
44.2,37287
44.4,37309
44.7,37287
44.9,37236
45.1,37324
45.4,37280
45.6,37346
45.9,37331
46.1,37360
46.3,37456
46.6,37485
46.8,37522
47.0,37632
47.3,37610
47.5,37676
47.7,37742
48.0,37757
48.2,37904
48.5,37889
48.7,37999
48.9,37911
49.2,37999
49.4,37970
49.6,37955
49.9,38014
50.1,38036
50.3,38043
50.6,38073
50.8,38131
51.1,38176
51.3,38293
51.5,38322
51.8,38322
52.0,38344
52.2,38418
52.5,38447
52.7,38462
52.9,38535
53.2,38462
53.4,38366
53.7,38286
53.9,38139
54.1,38176
54.4,38021
54.6,38007
54.8,37874
55.1,37808
55.3,37794
55.5,37720
55.8,37772
56.0,37698
56.2,37625
56.5,37610
56.7,37706
57.0,37617
57.2,37669
57.4,37573
57.7,37632
57.9,37507
58.1,37537
58.4,37529
58.6,37588
58.8,37588
