"Path Profile X=[731,1196] Y=792 W=48   - Red","AD\jneylon 12/6/2023 3:46:55 PM"
x / mm,y / cGy
x1,y1
0.0,45.2
0.2,45.3
0.3,45.5
0.5,43.6
0.7,44.0
0.8,44.2
1.0,42.0
1.2,43.4
1.4,44.2
1.5,43.9
1.7,43.0
1.9,43.7
2.0,43.0
2.2,46.1
2.4,46.1
2.5,46.3
2.7,48.3
2.9,51.0
3.0,50.7
3.2,53.9
3.4,56.0
3.6,60.6
3.7,63.4
3.9,67.5
4.1,70.4
4.2,74.3
4.4,81.4
4.6,87.7
4.7,90.6
4.9,98.9
5.1,101.6
5.2,106.2
5.4,113.0
5.6,115.1
5.8,120.3
5.9,122.2
6.1,126.6
6.3,130.1
6.4,130.0
6.6,133.8
6.8,134.0
6.9,133.3
7.1,136.1
7.3,136.7
7.5,139.5
7.6,142.6
7.8,141.2
8.0,142.7
8.1,143.4
8.3,143.9
8.5,145.8
8.6,147.1
8.8,146.7
9.0,149.5
9.1,148.8
9.3,153.4
9.5,151.1
9.7,152.9
9.8,155.1
10.0,157.2
10.2,156.6
10.3,158.8
10.5,160.1
10.7,159.7
10.8,160.9
11.0,161.9
11.2,163.6
11.3,166.2
11.5,166.6
11.7,167.1
11.9,168.3
12.0,170.5
12.2,170.4
12.4,171.0
12.5,174.3
12.7,175.3
12.9,175.4
13.0,178.8
13.2,179.1
13.4,179.9
13.5,178.7
13.7,183.0
13.9,184.4
14.1,186.4
14.2,185.3
14.4,185.8
14.6,188.8
14.7,189.9
14.9,190.4
15.1,189.9
15.2,194.1
15.4,194.7
15.6,196.4
15.7,195.1
15.9,199.6
16.1,200.1
16.3,201.1
16.4,204.2
16.6,201.1
16.8,202.5
16.9,208.0
17.1,205.4
17.3,209.3
17.4,208.0
17.6,211.0
17.8,212.9
17.9,214.1
18.1,213.7
18.3,214.3
18.5,217.9
18.6,218.1
18.8,220.4
19.0,221.2
19.1,224.5
19.3,226.2
19.5,224.8
19.6,226.5
19.8,228.0
20.0,228.0
20.2,231.2
20.3,230.8
20.5,234.8
20.7,236.0
20.8,236.5
21.0,239.1
21.2,238.4
21.3,240.6
21.5,242.9
21.7,242.3
21.8,243.5
22.0,242.7
22.2,246.3
22.4,245.4
22.5,249.5
22.7,250.3
22.9,250.4
23.0,254.7
23.2,251.5
23.4,255.4
23.5,256.3
23.7,256.5
23.9,259.6
24.0,259.3
24.2,259.8
24.4,262.0
24.6,262.7
24.7,264.6
24.9,269.4
25.1,262.9
25.2,268.0
25.4,267.1
25.6,267.1
25.7,267.6
25.9,267.5
26.1,271.4
26.2,273.9
26.4,270.2
26.6,272.4
26.8,275.8
26.9,277.9
27.1,275.1
27.3,274.3
27.4,276.8
27.6,276.4
27.8,280.1
27.9,281.5
28.1,285.0
28.3,282.4
28.4,283.9
28.6,285.3
28.8,284.5
29.0,287.0
29.1,286.8
29.3,289.0
29.5,285.2
29.6,289.9
29.8,291.9
30.0,287.5
30.1,289.0
30.3,286.3
30.5,290.5
30.6,292.9
30.8,285.8
31.0,288.3
31.2,285.8
31.3,289.6
31.5,287.2
31.7,285.8
31.8,287.9
32.0,287.2
32.2,287.0
32.3,286.8
32.5,282.7
32.7,284.2
32.9,282.2
33.0,278.4
33.2,282.2
33.4,281.1
33.5,276.4
33.7,277.2
33.9,276.2
34.0,275.6
34.2,274.1
34.4,268.7
34.5,265.2
34.7,269.0
34.9,269.1
35.1,266.1
35.2,268.3
35.4,268.2
35.6,265.0
35.7,262.7
35.9,265.1
36.1,264.4
36.2,264.0
36.4,257.3
36.6,258.4
36.7,257.0
36.9,254.8
37.1,253.5
37.3,250.4
37.4,248.0
37.6,246.0
37.8,244.5
37.9,245.3
38.1,241.3
38.3,236.7
38.4,237.4
38.6,233.0
38.8,231.4
38.9,225.1
39.1,226.1
39.3,231.9
39.5,233.4
39.6,232.9
39.8,240.8
40.0,239.5
40.1,241.2
40.3,241.4
40.5,241.8
40.6,244.1
40.8,247.5
41.0,249.9
41.1,249.0
41.3,251.3
41.5,253.4
41.7,255.0
41.8,259.0
42.0,257.9
42.2,259.3
42.3,261.4
42.5,261.0
42.7,263.9
42.8,266.4
43.0,264.1
43.2,264.8
43.3,269.1
43.5,266.4
43.7,268.8
43.9,272.5
44.0,269.7
44.2,269.9
44.4,272.1
44.5,270.7
44.7,271.0
44.9,273.7
45.0,270.7
45.2,270.9
45.4,272.7
45.6,270.2
45.7,272.2
45.9,275.4
46.1,269.3
46.2,272.0
46.4,270.6
46.6,269.1
46.7,267.6
46.9,268.7
47.1,269.1
47.2,267.1
47.4,268.2
47.6,265.7
47.8,263.1
47.9,265.0
48.1,265.4
48.3,261.2
48.4,261.9
48.6,261.8
48.8,261.0
48.9,260.7
49.1,256.8
49.3,257.0
49.4,256.2
49.6,255.9
49.8,254.7
50.0,253.1
50.1,252.5
50.3,248.7
50.5,250.2
50.6,250.5
50.8,247.6
51.0,245.3
51.1,245.0
51.3,242.0
51.5,245.1
51.6,240.8
51.8,241.1
52.0,236.8
52.2,236.7
52.3,235.6
52.5,234.1
52.7,231.6
52.8,231.0
53.0,230.7
53.2,228.8
53.3,227.8
53.5,226.7
53.7,224.9
53.8,226.1
54.0,222.1
54.2,220.8
54.4,222.1
54.5,219.1
54.7,219.3
54.9,215.5
55.0,215.8
55.2,212.4
55.4,212.6
55.5,210.9
55.7,206.9
55.9,208.0
56.0,207.0
56.2,202.3
56.4,201.0
56.6,202.4
56.7,199.8
56.9,201.4
57.1,199.1
57.2,196.5
57.4,192.6
57.6,196.0
57.7,192.1
57.9,190.5
58.1,189.3
58.3,189.0
58.4,189.1
58.6,185.7
58.8,186.0
58.9,183.8
59.1,182.1
59.3,182.2
59.4,179.7
59.6,178.5
59.8,177.7
59.9,174.5
60.1,171.7
60.3,174.5
60.5,172.3
60.6,171.3
60.8,169.8
61.0,168.7
61.1,167.8
61.3,167.7
61.5,164.6
61.6,164.8
61.8,163.1
62.0,161.0
62.1,158.9
62.3,158.0
62.5,156.5
62.7,155.5
62.8,152.2
63.0,152.1
63.2,151.9
63.3,149.2
63.5,147.5
63.7,146.6
63.8,145.0
64.0,145.5
64.2,145.2
64.3,141.0
64.5,139.4
64.7,138.6
64.9,138.7
65.0,137.8
65.2,135.1
65.4,133.3
65.5,133.3
65.7,131.8
65.9,131.1
66.0,130.2
66.2,127.6
66.4,126.1
66.5,125.6
66.7,124.2
66.9,121.9
67.1,120.1
67.2,115.9
67.4,113.5
67.6,108.2
67.7,105.5
67.9,100.9
68.1,93.9
68.2,90.5
68.4,86.5
68.6,78.0
68.7,74.1
68.9,67.0
69.1,62.2
69.3,59.2
69.4,54.1
69.6,49.1
69.8,46.8
69.9,43.0
70.1,40.4
70.3,39.5
70.4,36.6
70.6,34.9
70.8,33.2
71.0,30.6
71.1,30.5
71.3,28.8
71.5,29.0
71.6,27.2
71.8,26.5
72.0,26.2
72.1,25.1
72.3,26.0
72.5,23.7
72.6,24.8
72.8,24.8
73.0,23.3
73.2,22.7
73.3,23.6
73.5,23.0
73.7,21.8
73.8,22.0
74.0,21.5
74.2,21.6
74.3,21.6
74.5,19.8
74.7,20.8
74.8,21.4
75.0,20.7
75.2,21.0
75.4,20.6
75.5,19.1
75.7,19.4
75.9,19.8
76.0,20.4
76.2,19.1
76.4,18.9
76.5,18.7
76.7,18.2
76.9,19.0
77.0,17.4
77.2,18.0
77.4,16.8
77.6,18.6
77.7,16.6
77.9,18.2
78.1,16.9
78.2,19.0
78.4,17.9
78.6,18.0
78.7,16.4

