"Path Profile X=[101,396] Y=[733,1048] W=48   - Red","AD\jneylon 12/6/2023 3:37:39 PM"
x / mm,y / (16 bpch)
x1,y1
0.0,47391
0.2,47420
0.5,47354
0.7,47361
0.9,47347
1.2,47273
1.4,47376
1.6,47369
1.9,47332
2.1,47339
2.3,47288
2.6,47310
2.8,47295
3.0,47310
3.2,47303
3.5,47295
3.7,47317
3.9,47310
4.2,47354
4.4,47207
4.6,47273
4.9,47273
5.1,47266
5.3,47185
5.6,47200
5.8,47112
6.0,47134
6.3,47134
6.5,47141
6.7,47148
7.0,47171
7.2,47068
7.4,47053
7.7,46987
7.9,47016
8.1,47038
8.4,47002
8.6,47038
8.8,47038
9.0,47038
9.3,47009
9.5,46906
9.7,46847
10.0,46891
10.2,46818
10.4,46737
10.7,46723
10.9,46671
11.1,46590
11.4,46502
11.6,46400
11.8,46407
12.1,46341
12.3,46216
12.5,46165
12.8,46150
13.0,46054
13.2,45981
13.5,45827
13.7,45731
13.9,45643
14.2,45445
14.4,45320
14.6,45203
14.8,44990
15.1,44747
15.3,44483
15.5,44277
15.8,44211
16.0,43866
16.2,43617
16.5,43271
16.7,42919
16.9,42464
17.2,42067
17.4,41583
17.6,40929
17.9,40298
18.1,39850
18.3,39468
18.6,39159
18.8,38880
19.0,38800
19.3,38697
19.5,38587
19.7,38528
20.0,38388
20.2,38322
20.4,38212
20.6,38131
20.9,38058
21.1,37985
21.3,37933
21.6,37838
21.8,37713
22.0,37639
22.3,37537
22.5,37507
22.7,37471
23.0,37324
23.2,37228
23.4,37221
23.7,37067
23.9,37008
24.1,36898
24.4,36854
24.6,36751
24.8,36773
25.1,36648
25.3,36634
25.5,36450
25.8,36391
26.0,36325
26.2,36325
26.4,36193
26.7,36186
26.9,36178
27.1,36061
27.4,36009
27.6,35929
27.8,35943
28.1,35899
28.3,35863
28.5,35745
28.8,35708
29.0,35664
29.2,35657
29.5,35635
29.7,35598
29.9,35576
30.2,35561
30.4,35576
30.6,35525
30.9,35539
31.1,35554
31.3,35598
31.6,35451
31.8,35539
32.0,35613
32.2,35532
32.5,35613
32.7,35554
32.9,35657
33.2,35708
33.4,35818
33.6,35914
33.9,35943
34.1,36046
34.3,36112
34.6,36288
34.8,36266
35.0,36347
35.3,36266
35.5,36259
35.7,36274
36.0,36244
36.2,36399
36.4,36457
36.7,36589
36.9,36604
37.1,36626
37.4,36656
37.6,36905
37.8,36810
38.0,36942
38.3,36993
38.5,37133
38.7,37236
39.0,37148
39.2,36964
39.4,36861
39.7,36692
39.9,36501
40.1,36472
40.4,36318
40.6,36208
40.8,36149
41.1,36031
41.3,36017
41.5,35943
41.8,35914
42.0,35789
42.2,35708
42.5,35730
42.7,35723
42.9,35694
43.2,35679
43.4,35569
43.6,35650
43.8,35738
44.1,35664
44.3,35730
44.5,35664
44.8,35730
45.0,35804
45.2,35818
45.5,35877
45.7,35855
45.9,35833
46.2,35899
46.4,35943
46.6,35936
46.9,36024
47.1,36053
47.3,35995
47.6,36017
47.8,36061
48.0,36127
48.3,36193
48.5,36127
48.7,36215
49.0,36318
49.2,36354
49.4,36384
49.6,36538
49.9,36567
50.1,36722
50.3,36751
50.6,36839
50.8,36898
51.0,36971
51.3,37089
51.5,37089
51.7,37258
52.0,37272
52.2,37412
52.4,37397
52.7,37500
52.9,37537
53.1,37662
53.4,37639
53.6,37713
53.8,37830
54.1,37999
54.3,38021
54.5,38153
54.8,38352
55.0,38506
55.2,38902
55.4,39314
55.7,39894
55.9,40349
56.1,40863
56.4,41436
56.6,41884
56.8,42456
57.1,42816
57.3,43147
57.5,43492
57.8,43683
58.0,43998
58.2,44299
58.5,44454
58.7,44601
58.9,44872
59.2,44990
59.4,45078
59.6,45225
59.9,45349
60.1,45445
60.3,45474
60.6,45592
60.8,45695
61.0,45665
61.2,45790
61.5,45900
61.7,45966
61.9,46076
62.2,46032
62.4,46150
62.6,46157
62.9,46128
63.1,46216
63.3,46311
63.6,46370
63.8,46377
64.0,46429
64.3,46502
64.5,46576
64.7,46532
65.0,46605
65.2,46598
65.4,46620
65.7,46657
65.9,46612
66.1,46554
66.4,46488
66.6,46671
66.8,46568
67.0,46620
67.3,46532
67.5,46444
67.7,46444
68.0,46620
68.2,46598
68.4,46554
68.7,46554
68.9,46561
69.1,46554
69.4,46612
69.6,46517
69.8,46546
70.1,46576
70.3,46532
70.5,46539
70.8,46539
71.0,46502
71.2,46517
71.5,46539
71.7,46502
71.9,46539
72.2,46466
72.4,46568
72.6,46568
72.8,46532
73.1,46517

