"Path Profile X=[184,529] Y=[59,472] W=48   - Red","AD\jneylon 12/6/2023 3:49:38 PM"
x / mm,y / (16 bpch)
x1,y1
0.0,47052
0.2,47073
0.4,47066
0.7,47017
0.9,47114
1.1,46989
1.3,47073
1.5,47038
1.8,47017
2.0,46135
2.2,46962
2.4,46962
2.6,46968
2.9,47017
3.1,47052
3.3,46996
3.5,47017
3.8,46996
4.0,46968
4.2,46996
4.4,47010
4.6,47024
4.9,47107
5.1,47003
5.3,47024
5.5,46850
5.7,47003
6.0,46962
6.2,46920
6.4,46962
6.6,46920
6.8,46857
7.1,46955
7.3,46871
7.5,46892
7.7,46948
7.9,46913
8.2,46927
8.4,46871
8.6,46892
8.8,46996
9.0,46850
9.3,46871
9.5,46934
9.7,46934
9.9,46899
10.1,46850
10.4,46899
10.6,46878
10.8,46864
11.0,46732
11.3,46843
11.5,46725
11.7,46864
11.9,46774
12.1,46732
12.4,46837
12.6,46788
12.8,46802
13.0,46788
13.2,46774
13.5,46767
13.7,46698
13.9,46760
14.1,46774
14.3,46698
14.6,46684
14.8,46705
15.0,46691
15.2,46705
15.4,46649
15.7,46698
15.9,46705
16.1,46677
16.3,46684
16.5,46670
16.8,46663
17.0,46621
17.2,46593
17.4,46552
17.7,46489
17.9,46454
18.1,46420
18.3,46406
18.5,46350
18.8,46413
19.0,46385
19.2,46218
19.4,46343
19.6,46232
19.9,46197
20.1,46121
20.3,46079
20.5,45968
20.7,45947
21.0,45920
21.2,45836
21.4,45864
21.6,45802
21.8,45718
22.1,45579
22.3,45586
22.5,45440
22.7,45392
22.9,45260
23.2,45058
23.4,45003
23.6,44961
23.8,44829
24.0,44628
24.3,44392
24.5,44169
24.7,43912
24.9,43850
25.2,43572
25.4,43211
25.6,42870
25.8,42474
26.0,41967
26.3,41717
26.5,41162
26.7,40509
26.9,39918
27.1,39328
27.4,39001
27.6,38856
27.8,38758
28.0,38640
28.2,38585
28.5,38543
28.7,38453
28.9,38432
29.1,38376
29.3,38265
29.6,38203
29.8,38119
30.0,38029
30.2,38112
30.4,37994
30.7,37953
30.9,37855
31.1,37779
31.3,37786
31.6,37765
31.8,37654
32.0,37585
32.2,37515
32.4,37432
32.7,37480
32.9,37411
33.1,37473
33.3,37425
33.5,37397
33.8,37328
34.0,37321
34.2,37348
34.4,37258
34.6,37307
34.9,37216
35.1,37237
35.3,37251
35.5,37175
35.7,37230
36.0,37237
36.2,37223
36.4,37216
36.6,37154
36.8,37244
37.1,37251
37.3,37202
37.5,37272
37.7,37293
38.0,37390
38.2,37501
38.4,37473
38.6,37501
38.8,37633
39.1,37640
39.3,37779
39.5,37828
39.7,37897
39.9,37960
40.2,38043
40.4,38119
40.6,38210
40.8,38321
41.0,38439
41.3,38522
41.5,38613
41.7,38717
41.9,38765
42.1,38779
42.4,38744
42.6,38501
42.8,38397
43.0,38356
43.2,38230
43.5,38140
43.7,38071
43.9,38092
44.1,37987
44.3,37876
44.6,37800
44.8,37779
45.0,37786
45.2,37647
45.5,37619
45.7,37515
45.9,37571
46.1,37529
46.3,37529
46.6,37522
46.8,37473
47.0,37341
47.2,37341
47.4,37265
47.7,37154
47.9,37251
48.1,37105
48.3,37043
48.5,37015
48.8,36932
49.0,36973
49.2,36751
49.4,36918
49.6,36939
49.9,36904
50.1,36925
50.3,36890
50.5,36897
50.7,36827
51.0,36918
51.2,36939
51.4,36952
51.6,36966
51.9,36966
52.1,37015
52.3,37105
52.5,37098
52.7,37126
53.0,37077
53.2,37126
53.4,37175
53.6,37209
53.8,37237
54.1,37321
54.3,37362
54.5,37348
54.7,37397
54.9,37432
