"Path Profile X=[742,1041] Y=[95,399] W=48   - Red","AD\jneylon 12/6/2023 3:48:34 PM"
x / mm,y / (16 bpch)
x1,y1
0.0,46921
0.2,46899
0.5,46869
0.7,46884
1.0,46899
1.2,46796
1.4,46781
1.7,46767
1.9,46891
2.1,46789
2.4,46855
2.6,46759
2.9,46936
3.1,46899
3.3,46869
3.6,46943
3.8,46891
4.0,46987
4.3,46972
4.5,46891
4.8,46958
5.0,46906
5.2,46950
5.5,46869
5.7,46899
5.9,46840
6.2,46818
6.4,46767
6.7,46767
6.9,46869
7.1,46759
7.4,46752
7.6,46847
7.8,46723
8.1,46818
8.3,46737
8.6,46745
8.8,46803
9.0,46811
9.3,46693
9.5,46811
9.7,46715
10.0,46759
10.2,46737
10.5,46693
10.7,46627
10.9,46730
11.2,46686
11.4,46664
11.6,46649
11.9,46671
12.1,46657
12.4,46649
12.6,46583
12.8,46473
13.1,46400
13.3,46458
13.5,46480
13.8,46377
14.0,46348
14.3,46377
14.5,46216
14.7,46238
15.0,46260
15.2,46106
15.4,46143
15.7,45988
15.9,45937
16.2,45878
16.4,45863
16.6,45731
16.9,45724
17.1,45577
17.3,45438
17.6,45327
17.8,45225
18.1,45056
18.3,45026
18.5,44791
18.8,44630
19.0,44410
19.2,44233
19.5,43947
19.7,43734
20.0,43455
20.2,43110
20.4,42647
20.7,42155
20.9,41656
21.1,41003
21.4,40246
21.6,39490
21.9,38902
22.1,38484
22.3,38293
22.6,38168
22.8,38146
23.0,38131
23.3,38058
23.5,37977
23.8,37963
24.0,37904
24.2,37948
24.5,37808
24.7,37808
24.9,37684
25.2,37742
25.4,37617
25.7,37632
25.9,37573
26.1,37581
26.4,37566
26.6,37493
26.8,37382
27.1,37375
27.3,37507
27.6,37412
27.8,37441
28.0,37456
28.3,37390
28.5,37544
28.7,37522
29.0,37515
29.2,37588
29.5,37632
29.7,37823
29.9,37786
30.2,37786
30.4,37772
30.6,37919
30.9,37896
31.1,37999
31.4,38109
31.6,38161
31.8,38220
32.1,38242
32.3,38403
32.5,38440
32.8,38579
33.0,38638
33.3,38836
33.5,38880
33.7,38785
34.0,38623
34.2,38557
34.4,38513
34.7,38410
34.9,38455
35.2,38286
35.4,38220
35.6,38183
35.9,38080
36.1,38043
36.3,37992
36.6,37735
36.8,37823
37.1,37742
37.3,37845
37.5,37757
37.8,37933
38.0,37845
38.2,37816
38.5,37779
38.7,37669
39.0,37654
39.2,37559
39.4,37544
39.7,37456
39.9,37434
40.1,37427
40.4,37265
40.6,37302
40.9,37258
41.1,37265
41.3,37192
41.6,37206
41.8,37206
42.0,37221
42.3,37250
42.5,37250
42.8,37302
43.0,37228
43.2,37258
43.5,37221
43.7,37287
43.9,37287
44.2,37353
44.4,37368
44.7,37368
44.9,37397
45.1,37375
45.4,37412
45.6,37471
45.8,37507
46.1,37588
46.3,37662
46.6,37676
46.8,37757
47.0,37720
47.3,37779
47.5,37860
47.7,37911
48.0,37852
48.2,38051
48.5,38051
48.7,38109
48.9,38330
49.2,38477
49.4,38712
49.6,39174
49.9,39688
50.1,40334
50.4,41017
50.6,41487
50.8,42097
51.1,42515
51.3,42985
51.5,43286
51.8,43528
52.0,43793
52.3,44064
52.5,44226
52.7,44454
53.0,44652
53.2,44813
53.4,44968
53.7,44938
53.9,45217
54.2,45276
54.4,45416
54.6,45496
54.9,45540
55.1,45680
55.3,45658
55.6,45739
55.8,45695
56.1,45841
56.3,45974
56.5,45959
56.8,46040
57.0,46025
57.2,46084
57.5,46209
57.7,46194
58.0,46179
58.2,46201
58.4,46311
58.7,46392
58.9,46363
59.1,46297
59.4,46407
59.6,46422
59.9,46429
60.1,46480
60.3,46568
60.6,46605
60.8,46627
61.0,46598
61.3,46605
61.5,46598
61.8,46627
62.0,46649
62.2,46701
62.5,46759
62.7,46657
62.9,46715
63.2,46679
63.4,46664
63.7,46686
63.9,46745
64.1,46693
64.4,46745
64.6,46715
64.8,46627
65.1,46657
65.3,46642
65.6,46723
65.8,46671
66.0,46701
66.3,46701
66.5,46701
66.7,46701
67.0,46745
67.2,46708
67.5,46759
67.7,46730
67.9,46634
68.2,46693
68.4,46767
68.6,46745
68.9,46664
69.1,46796
69.4,46730
69.6,46723
69.8,46745
70.1,46818
70.3,46855
70.5,46906
70.8,46796
71.0,46855
71.3,46840
71.5,46921
71.7,46943
72.0,46921
72.2,46884

